fixed,noise,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,True,10,0.005,100,100,0.99,3,2,7,1,,620,3.54967,0.0973914,0.22
True,True,10,0.005,100,100,0.99,3,2,7,1,,630,2.55672,0.0881028,0.3
True,True,10,0.005,100,100,0.99,3,2,7,1,,640,2.16587,0.0812926,0.45
True,True,10,0.005,100,100,0.99,3,2,7,1,,650,1.73763,0.0743954,0.56
True,True,10,0.005,100,100,0.99,3,2,7,1,,660,1.48225,0.0701048,0.6
True,True,10,0.005,100,100,0.99,3,2,7,1,,670,1.35913,0.067549,0.65
True,True,10,0.005,100,100,0.99,3,2,7,1,,680,1.25236,0.0650577,0.69
True,True,10,0.005,100,100,0.99,3,2,7,1,,690,1.11285,0.0628825,0.66
True,True,10,0.005,100,100,0.99,3,2,7,1,,700,0.996541,0.0587499,0.76
True,True,10,0.005,100,100,0.99,3,2,7,1,,710,4.05131,0.0980664,0.26
True,True,10,0.005,100,100,0.99,3,2,7,1,,720,2.60339,0.0878493,0.38
True,True,10,0.005,100,100,0.99,3,2,7,1,,730,1.81966,0.0770529,0.52
True,True,10,0.005,100,100,0.99,3,2,7,1,,740,1.29437,0.0687731,0.63
True,True,10,0.005,100,100,0.99,3,2,7,1,,750,1.0478,0.062909,0.68
True,True,10,0.005,100,100,0.99,3,2,7,1,,760,0.801439,0.0557273,0.77
True,True,10,0.005,100,100,0.99,3,2,7,1,,770,0.665738,0.0494946,0.8
True,True,10,0.005,100,100,0.99,3,2,7,1,,780,0.603911,0.0476558,0.81
True,True,10,0.005,100,100,0.99,3,2,7,1,,790,0.479195,0.0419865,0.88
True,True,10,0.005,100,100,0.99,3,2,7,1,,800,0.485019,0.042843,0.88
True,True,10,0.005,100,100,0.99,3,2,7,1,,810,4.86253,0.103588,0.16
True,True,10,0.005,100,100,0.99,3,2,7,1,,820,3.00628,0.0941744,0.29
