cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,470,10.3793,0.0148843,0.0415094,0.0183088,0.0226444,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,480,10.4133,0.015107,0.0419811,0.0105349,0.0228018,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,490,10.5577,0.0153489,0.040566,0.00850328,0.0228451,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,-1,11.1735,0.015334,0.0152395,10.7768,0.0156977,0.025641
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,0,7.53782,0.000531529,0.0,7.53819,0.000530889,0.0
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,10,4.63638,0.00297523,0.0408805,4.50124,0.00303052,0.0
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,20,4.57907,0.00310352,0.039671,4.41826,0.00314586,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,30,4.55427,0.00303458,0.0355588,4.42202,0.00307161,0.025641
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,40,4.54732,0.00303568,0.0370102,4.43158,0.00306218,0.0769231
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,50,4.52401,0.00303669,0.0406386,4.46087,0.00305832,0.0
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,60,4.54012,0.00303776,0.0406386,4.48445,0.00307765,0.0
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,70,4.47018,0.00305483,0.0534591,4.38394,0.00309476,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,80,4.42619,0.00313563,0.0520077,4.28982,0.00311036,0.025641
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,90,4.37313,0.00316501,0.0558781,4.24361,0.00318222,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,100,4.30348,0.00333046,0.0686986,4.05445,0.00362254,0.0769231
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,110,4.54471,0.00345356,0.0769231,4.59947,0.00358899,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,120,4.45392,0.0033591,0.0902274,4.45276,0.00364298,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,130,4.34763,0.0034947,0.093372,4.29509,0.00410242,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,140,4.2638,0.00372694,0.100387,4.21055,0.00437048,0.128205
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,150,4.18913,0.00383785,0.103048,4.08097,0.0049768,0.128205
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,160,4.10235,0.00416958,0.101113,4.09103,0.0053596,0.128205
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,170,4.02523,0.00429691,0.117804,3.96929,0.00561056,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,180,3.91962,0.00436351,0.129898,3.8224,0.00549541,0.153846
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,190,3.82665,0.00474949,0.149976,3.76868,0.00636421,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,200,3.69704,0.00495253,0.171021,3.60799,0.00638628,0.179487
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,210,4.4744,0.00363186,0.0955491,4.63235,0.00386111,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,220,4.27215,0.00415848,0.118045,4.51845,0.00494092,0.128205
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,230,4.1106,0.00447548,0.12627,4.25922,0.00532846,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,240,3.95468,0.00478413,0.153604,4.00673,0.00609873,0.153846
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,250,3.83708,0.00511443,0.156991,3.77128,0.00627052,0.205128
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,260,3.68226,0.00553086,0.179245,3.57697,0.00686818,0.25641
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,270,3.55234,0.00573817,0.199081,3.43605,0.00744596,0.333333
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,280,3.36506,0.00637352,0.225931,3.25209,0.00830371,0.307692
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,290,3.24316,0.00677814,0.248911,3.09571,0.00892541,0.307692
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,300,3.08013,0.00750759,0.271892,3.0,0.00959254,0.307692
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,310,4.17491,0.00461281,0.132801,3.98039,0.00484776,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,320,3.87981,0.00531809,0.172714,3.71303,0.00622531,0.153846
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,330,3.65419,0.00574944,0.199806,3.36109,0.00673225,0.230769
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,340,3.41264,0.00713568,0.232463,3.08482,0.00829597,0.282051
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,350,3.33429,0.00718865,0.231979,3.0911,0.00867064,0.282051
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,360,3.06138,0.00816024,0.278665,2.69598,0.00974086,0.358974
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,370,2.90836,0.00861611,0.317126,2.62632,0.0104079,0.384615
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,380,2.70554,0.00929013,0.357039,2.4187,0.0105848,0.461538
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,390,2.60537,0.0093477,0.365747,2.31206,0.0107597,0.461538
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,400,2.43975,0.00990663,0.389937,2.06629,0.0116306,0.564103
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,410,4.5558,0.0042488,0.0662796,4.28127,0.00547851,0.0769231
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,420,4.21264,0.00405601,0.103532,3.96311,0.00506963,0.128205
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,430,3.92473,0.00462845,0.149492,3.59957,0.00566021,0.153846
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,440,3.6441,0.00554302,0.191824,3.44103,0.00695423,0.230769
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,450,3.34437,0.00634026,0.243832,3.2246,0.00809872,0.205128
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,460,3.16404,0.00696058,0.273343,3.03476,0.00881236,0.282051
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,470,2.92191,0.00819775,0.314707,2.73982,0.010724,0.333333
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,480,2.73783,0.0083313,0.348573,2.59527,0.00974439,0.333333
