cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,45,8.9386,0.0762448,0.0360377,3.86398,0.0763018,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,46,8.9471,0.0755549,0.039434,3.87361,0.0756176,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,47,8.94795,0.0748833,0.0379245,3.82919,0.0749381,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,48,8.95242,0.0742218,0.0388679,3.84386,0.0742978,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,49,8.96214,0.0735676,0.0358491,3.83889,0.0736061,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,50,8.9699,0.0729224,0.034717,3.82021,0.0729897,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,51,8.98032,0.0722937,0.0353774,3.86726,0.0723602,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,52,8.98386,0.0716813,0.0318868,3.83299,0.0717358,0.09
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,53,8.98629,0.0710815,0.0358491,3.83932,0.071138,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,54,8.99325,0.0704961,0.0301887,3.86363,0.0705545,0.02
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,55,8.99567,0.0699179,0.0337736,3.84703,0.0699852,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,56,9.00223,0.0693474,0.0321698,3.84944,0.0694139,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,57,9.0054,0.0687818,0.0351887,3.83398,0.0688693,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,58,9.00008,0.0682185,0.0338679,3.84711,0.0682792,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,59,9.00713,0.0676659,0.0316981,3.83537,0.0677326,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,60,9.0023,0.0671218,0.0328302,3.86771,0.0671795,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,61,9.00283,0.0665933,0.034717,3.86606,0.0666566,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,62,9.00272,0.0660748,0.035,3.84245,0.0661374,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,63,9.01429,0.0655645,0.0366038,3.85388,0.065636,0.09
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,64,9.01451,0.065052,0.0367925,3.83721,0.065094,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,65,9.02039,0.0645491,0.035,3.84991,0.0646037,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,66,9.0221,0.0640491,0.0353774,3.8167,0.0641187,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,67,9.03158,0.063548,0.0353774,3.80673,0.0636088,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,68,9.03097,0.0630518,0.0357547,3.85432,0.0631197,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,69,9.03034,0.0625591,0.0353774,3.86677,0.0626406,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,70,9.03337,0.0620676,0.0354717,3.84055,0.0621302,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,71,9.03408,0.0615932,0.0350943,3.831,0.061663,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,72,9.03803,0.0611266,0.0311321,3.83173,0.0612011,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,73,9.02857,0.0606697,0.0350943,3.80171,0.0607349,0.1
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,74,9.03108,0.0602247,0.0363208,3.84211,0.0602657,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,75,9.03437,0.0597912,0.0326415,3.85691,0.0598524,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,76,9.0318,0.0593626,0.0323585,3.82913,0.0594325,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,77,9.03022,0.0589372,0.0368868,3.79943,0.058991,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,78,9.04057,0.0585129,0.0372641,3.82319,0.0585703,0.1
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,79,9.04198,0.0580821,0.0360377,3.85332,0.0581466,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,80,9.04537,0.0576458,0.0340566,3.85119,0.0577075,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,81,9.05204,0.057212,0.034434,3.86171,0.0572724,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,82,9.04757,0.0567775,0.0364151,3.83416,0.0568483,0.1
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,83,9.05406,0.056348,0.0348113,3.84495,0.0564106,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,84,9.05286,0.055924,0.0366981,3.822,0.0559944,0.1
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,85,9.04826,0.0555137,0.0356604,3.81735,0.0555926,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,86,9.051,0.0551092,0.0362264,3.8235,0.0551725,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,87,9.04938,0.0547231,0.0356604,3.81733,0.0547829,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,88,9.05606,0.0543434,0.0336792,3.84778,0.0544139,0.1
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,89,9.05759,0.0539701,0.0326415,3.85277,0.0540278,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,90,9.05213,0.0535946,0.0348113,3.81005,0.0536669,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,91,9.05674,0.0532193,0.0341509,3.84665,0.0532796,0.09
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,92,9.05398,0.0528463,0.035,3.81919,0.0529139,0.11
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,93,9.05968,0.0524748,0.0361321,3.83969,0.0525483,0.03
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,94,9.06174,0.0520988,0.0342453,3.79708,0.0521521,0.1
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,95,9.0607,0.0517261,0.035283,3.7791,0.0517966,0.11
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,96,9.05651,0.0513535,0.0345283,3.86069,0.0514041,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,97,9.06026,0.0509943,0.0343396,3.82552,0.0510598,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,98,9.06373,0.05063,0.0339623,3.8414,0.0506993,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,99,9.06431,0.0502688,0.034717,3.83146,0.0503363,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,100,9.06342,0.0499128,0.0364151,3.82935,0.0499621,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,-1,9.58347,0.0495697,0.0368973,9.03754,0.0496127,0.0444444
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,101,9.06551,0.0495709,0.0339623,3.82703,0.0496242,0.09
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,102,9.06299,0.0492319,0.0348113,3.8249,0.0492762,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,103,9.06756,0.0488999,0.0324528,3.82389,0.0489581,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,104,9.06906,0.0485693,0.0334906,3.84396,0.0486161,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,105,9.06347,0.0482427,0.0349057,3.82288,0.0482931,0.11
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,106,9.06561,0.0479215,0.0343396,3.85862,0.0479683,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,107,9.06383,0.0475939,0.0367925,3.82202,0.0476473,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,108,9.05478,0.0472653,0.035,3.8098,0.0473375,0.09
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,109,9.05758,0.0469259,0.035,3.77164,0.0470022,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,110,9.05782,0.0465837,0.0343396,3.80989,0.0466533,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,111,9.05853,0.0462487,0.0378302,3.78675,0.0463033,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,112,9.0634,0.0459229,0.034434,3.80894,0.0459787,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,113,9.06348,0.0456045,0.0320755,3.80706,0.0456676,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,114,9.06427,0.0452988,0.0345283,3.82193,0.0453587,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,115,9.06555,0.0450028,0.0340566,3.85203,0.0450618,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,116,9.05746,0.0447068,0.0348113,3.80989,0.0447541,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,117,9.06286,0.044413,0.0323585,3.82225,0.0444719,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,118,9.05755,0.044122,0.0333962,3.84634,0.044188,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,119,9.06321,0.0438272,0.0332075,3.79698,0.0438665,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,120,9.05693,0.0435389,0.034717,3.85989,0.0436033,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,121,9.05513,0.043243,0.0362264,3.81423,0.0432969,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,122,9.06076,0.0429447,0.0351887,3.79476,0.0430046,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,123,9.06206,0.0426407,0.0346226,3.84127,0.042697,0.09
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,124,9.06238,0.0423436,0.0369811,3.80222,0.0424081,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,125,9.05986,0.0420515,0.0337736,3.82191,0.0421077,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,126,9.06417,0.0417642,0.0320755,3.82593,0.0418157,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,127,9.05986,0.0414921,0.0333962,3.8137,0.0415586,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,128,9.06294,0.0412199,0.0339623,3.84562,0.0412818,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,129,9.05946,0.0409481,0.0358491,3.81654,0.040994,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,130,9.06068,0.0406773,0.0354717,3.80449,0.0407304,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,131,9.05744,0.0404081,0.0340566,3.79015,0.0404643,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,132,9.05623,0.0401413,0.0351887,3.81572,0.0401931,0.09
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,133,9.0617,0.0398772,0.0322642,3.86101,0.0399338,0.04
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,134,9.05609,0.0396128,0.0374528,3.82726,0.0396713,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,135,9.05619,0.0393485,0.035566,3.81227,0.0394227,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,136,9.05186,0.039081,0.0374528,3.80337,0.0391313,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,137,9.05647,0.0388198,0.0353774,3.8101,0.0388758,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,138,9.04856,0.0385631,0.0332075,3.79714,0.0386265,0.05
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,139,9.04675,0.038309,0.035283,3.85164,0.03837,0.07
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,140,9.0451,0.038058,0.0351887,3.76963,0.0381177,0.08
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,141,9.04923,0.0378118,0.0366038,3.83683,0.0378547,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,142,9.04609,0.0375704,0.0364151,3.79952,0.0376379,0.06
cross,last,5,0.005,100,500,0.95,0.001,3,3,5,1,100,106,143,9.04083,0.0373294,0.034434,3.81553,0.037402,0.05
