cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,470,10.5259,0.015238,0.0426887,0.0662967,0.0216686,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,480,10.8193,0.0158778,0.0495283,0.0361949,0.0222578,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,490,11.06,0.0160053,0.0426887,0.0268934,0.0224657,1.0
cross,last,5,0.005,40,100,0.99,3,3,5,1,245,106,-1,11.8837,0.0161307,0.0130624,11.8956,0.0165122,0.0
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,0,7.53678,0.000531593,0.0,7.55307,0.000531681,0.0
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,10,4.63574,0.00294822,0.0430576,4.56503,0.00299891,0.0
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,20,4.57118,0.00305815,0.0382196,4.49934,0.00309295,0.0
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,30,4.55488,0.00302861,0.0403967,4.43407,0.00306018,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,40,4.53895,0.00300097,0.0379777,4.42821,0.0030243,0.025641
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,50,4.51564,0.00301372,0.0391872,4.41995,0.00304321,0.025641
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,60,4.49572,0.00304539,0.0425738,4.36966,0.00306568,0.0
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,70,4.44953,0.00309044,0.0452346,4.2904,0.00315187,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,80,4.42209,0.00313535,0.0566038,4.26176,0.00318493,0.0769231
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,90,4.37963,0.00326534,0.0527334,4.14297,0.00344326,0.0769231
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,100,4.34778,0.00329624,0.0551524,4.09205,0.00353259,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,110,4.54531,0.00338566,0.0810353,4.65319,0.00350952,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,120,4.45327,0.00334377,0.0827286,4.52799,0.00357228,0.0769231
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,130,4.39567,0.00342529,0.0839381,4.4374,0.00387072,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,140,4.37386,0.00337451,0.0836962,4.41687,0.00371791,0.0769231
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,150,4.33294,0.00352923,0.0865989,4.33236,0.00414416,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,160,4.31195,0.00363098,0.0868408,4.28395,0.0042123,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,170,4.29232,0.00356551,0.0868408,4.26921,0.00404735,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,180,4.27403,0.00361516,0.0858732,4.27278,0.00413948,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,190,4.2551,0.003649,0.0870827,4.22055,0.00415213,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,200,4.24723,0.00360764,0.0878084,4.2765,0.00391865,0.102564
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,210,4.48313,0.00338468,0.0745041,4.72494,0.00334201,0.0769231
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,220,4.40089,0.0035525,0.0757136,4.7144,0.00381561,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,230,4.353,0.00357819,0.0791001,4.59206,0.0039245,0.0769231
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,240,4.33209,0.00366331,0.0728108,4.59907,0.00404946,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,250,4.30091,0.00360125,0.0718433,4.49925,0.00390334,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,260,4.27454,0.0036472,0.0754717,4.46019,0.00396494,0.025641
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,270,4.25751,0.00366932,0.0778907,4.43517,0.00394494,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,280,4.23833,0.00364417,0.0783745,4.45031,0.00388358,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,290,4.22388,0.0036641,0.0795839,4.41201,0.0038429,0.025641
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,300,4.20367,0.00369629,0.0781326,4.38213,0.00391166,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,310,4.26013,0.00383366,0.0899855,4.22382,0.0038915,0.0512821
cross,all,5,0.005,39,100,0.99,3,3,5,1,245,106,320,4.20009,0.00414577,0.0827286,4.20858,0.00432578,0.0512821
