cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,130,14.0401,0.00509183,0.0339623,3.1526,0.00515249,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,140,14.0375,0.00505457,0.0332547,3.14113,0.00511082,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,150,14.0493,0.00508253,0.0346698,3.14486,0.00513955,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,160,14.047,0.0050346,0.0313679,3.16514,0.00510663,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,170,14.0491,0.00503896,0.0287736,3.1688,0.00510145,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,180,14.079,0.00512275,0.0353774,3.12967,0.00517243,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,190,14.0689,0.00508276,0.0337264,3.15454,0.00513878,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,200,14.0874,0.00504241,0.0337264,3.13264,0.0050876,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,210,14.094,0.00505414,0.0330189,3.10858,0.00511071,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,220,14.1048,0.00513244,0.0353774,3.17233,0.00519641,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,230,14.1328,0.00505817,0.0346698,3.11879,0.00510121,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,240,14.1427,0.00506603,0.0323113,3.1705,0.00512677,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,250,14.142,0.00507495,0.0351415,3.17838,0.00515165,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,260,14.1692,0.00505428,0.032783,3.16399,0.00510868,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,270,14.1874,0.00507839,0.034434,3.17432,0.00511883,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,280,14.2488,0.00512793,0.0353774,3.14137,0.00517918,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,290,14.2814,0.00505982,0.0341981,3.16504,0.005121,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,300,14.3326,0.00509555,0.0332547,3.15696,0.00517889,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,310,14.3669,0.00510163,0.0341981,3.13732,0.00515982,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,320,14.3902,0.00504258,0.0299528,3.14261,0.00512456,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,330,14.3902,0.00508863,0.0337264,3.11749,0.00514226,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,340,14.342,0.00506137,0.0325472,3.15762,0.00513633,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,350,14.3052,0.00502961,0.0339623,3.14904,0.0050936,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,360,14.2829,0.0050669,0.0308962,3.15765,0.00512508,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,370,14.2507,0.00506752,0.0351415,3.1426,0.00513441,0.15
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,380,14.2527,0.00505891,0.0351415,3.15126,0.00512374,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,390,14.2692,0.00508825,0.0334906,3.12676,0.00513179,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,400,14.2856,0.00508865,0.0341981,3.15865,0.00516166,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,410,14.2979,0.00505281,0.0325472,3.11133,0.00511554,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,420,14.3105,0.00504757,0.0306604,3.14811,0.00509136,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,430,14.2695,0.00499803,0.0313679,3.11879,0.0050437,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,440,14.2551,0.00507146,0.032783,3.13491,0.00512333,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,450,14.2302,0.00505498,0.0349057,3.14204,0.00510809,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,460,14.2309,0.00505045,0.0334906,3.14244,0.00512852,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,470,14.2121,0.00503279,0.029717,3.16788,0.00509151,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,480,14.2061,0.00507189,0.0341981,3.16066,0.00513014,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,490,14.227,0.0051026,0.0351415,3.17341,0.00518173,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,500,14.2042,0.00504354,0.0341981,3.15539,0.00511085,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,510,11.9439,0.00613711,0.0294811,4.62466,0.00621634,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,520,9.17202,0.00468611,0.0176887,3.43131,0.00474673,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,530,8.63328,0.00471479,0.0247642,3.32032,0.0047925,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,540,9.23182,0.00504662,0.0497642,3.29942,0.0051319,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,550,9.68388,0.00480359,0.0285377,3.28526,0.00487551,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,560,9.83294,0.00487341,0.0464623,3.29765,0.00492655,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,570,9.91869,0.00487031,0.0431604,3.2624,0.00494383,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,580,10.0537,0.00482292,0.0410377,3.28996,0.00488989,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,590,10.1122,0.00484966,0.0419811,3.26374,0.00491439,0.025
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,600,10.1205,0.00481882,0.0273585,3.27055,0.00487307,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,610,10.1664,0.0048007,0.0238208,3.2964,0.00485357,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,620,10.2637,0.00483871,0.0283019,3.26814,0.00490277,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,630,10.3822,0.00484709,0.0398585,3.29324,0.00492984,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,640,10.4067,0.00483049,0.0259434,3.26542,0.00489994,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,650,10.4447,0.00484274,0.0228774,3.29385,0.00490884,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,660,10.4756,0.00485115,0.0266509,3.29262,0.00490593,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,670,10.5133,0.00483957,0.0240566,3.28099,0.00489995,0.0
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,680,10.5811,0.0048501,0.0412736,3.27226,0.00491015,0.05
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,690,10.6173,0.00484149,0.0478774,3.2737,0.00491008,0.15
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,700,10.6189,0.00484931,0.0419811,3.28145,0.0049135,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,710,10.6487,0.00485405,0.046934,3.27309,0.00490042,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,720,10.7081,0.00484664,0.0462264,3.26321,0.004925,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,730,10.6904,0.00485764,0.0287736,3.26672,0.00492451,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,740,10.6519,0.00483869,0.029717,3.26,0.0049066,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,750,10.587,0.00484528,0.0259434,3.31926,0.00492139,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,760,10.5599,0.00484277,0.029717,3.27983,0.00488108,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,770,10.5562,0.00483406,0.0271226,3.28315,0.00488878,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,780,10.5388,0.00482076,0.0424528,3.2891,0.00488274,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,790,10.4863,0.00484521,0.0403302,3.27256,0.00492129,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,800,10.4387,0.00484907,0.0266509,3.28438,0.0049082,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,810,10.4569,0.00481152,0.0438679,3.27235,0.00489172,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,820,10.4413,0.00482479,0.0266509,3.25057,0.0048867,0.15
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,830,10.4465,0.00480606,0.0412736,3.28949,0.0048561,0.025
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,840,10.4601,0.00483984,0.0341981,3.2605,0.0048915,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,850,10.5286,0.00485289,0.0367925,3.28392,0.00492141,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,860,10.5717,0.00484505,0.0431604,3.2833,0.00490722,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,870,10.6259,0.00482209,0.0429245,3.27646,0.00489139,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,880,10.684,0.00483197,0.0313679,3.25514,0.00489565,0.125
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,890,10.7183,0.00485576,0.042217,3.2851,0.00492349,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,900,10.7623,0.00483182,0.029717,3.26354,0.00488143,0.075
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,910,10.8007,0.00482865,0.0292453,3.27715,0.00487577,0.1
cross,last,5,0.005,40,500,0.99,3,3,5,1,300,106,920,10.8201,0.00481889,0.0278302,3.27953,0.00488568,0.075
