fixed,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,10,0.005,100,100,0.99,3,2,7,1,,30,54.1781,0.134215,0.03
True,10,0.005,100,100,0.99,3,2,7,1,,40,35.5825,0.12929,0.06
True,10,0.005,100,100,0.99,3,2,7,1,,50,28.4536,0.12656,0.08
True,10,0.005,100,100,0.99,3,2,7,1,,60,20.4552,0.120964,0.15
True,10,0.005,100,100,0.99,3,2,7,1,,70,16.9781,0.116846,0.19
True,10,0.005,100,100,0.99,3,2,7,1,,80,12.9775,0.110833,0.25
True,10,0.005,100,100,0.99,3,2,7,1,,90,10.7222,0.10658,0.31
True,10,0.005,100,100,0.99,3,2,7,1,,100,8.21389,0.100807,0.37
True,10,0.005,100,100,0.99,3,2,7,1,,110,18.9093,0.110219,0.26
True,10,0.005,100,100,0.99,3,2,7,1,,120,11.1903,0.107304,0.21
True,10,0.005,100,100,0.99,3,2,7,1,,130,6.28355,0.0952034,0.41
True,10,0.005,100,100,0.99,3,2,7,1,,140,4.02674,0.0894618,0.47
True,10,0.005,100,100,0.99,3,2,7,1,,150,2.50923,0.0713176,0.67
True,10,0.005,100,100,0.99,3,2,7,1,,160,2.32688,0.0716783,0.68
True,10,0.005,100,100,0.99,3,2,7,1,,170,0.872934,0.0510136,0.84
True,10,0.005,100,100,0.99,3,2,7,1,,180,1.43261,0.0564299,0.81
True,10,0.005,100,100,0.99,3,2,7,1,,190,0.615178,0.0390154,0.9
True,10,0.005,100,100,0.99,3,2,7,1,,200,0.451779,0.0362707,0.92
True,10,0.005,100,100,0.99,3,2,7,1,,210,5.50179,0.0869479,0.51
True,10,0.005,100,100,0.99,3,2,7,1,,220,3.51952,0.0789256,0.58
True,10,0.005,100,100,0.99,3,2,7,1,,230,2.4743,0.0774507,0.63
True,10,0.005,100,100,0.99,3,2,7,1,,240,1.52707,0.0624807,0.76
True,10,0.005,100,100,0.99,3,2,7,1,,250,1.10053,0.0563554,0.8
True,10,0.005,100,100,0.99,3,2,7,1,,260,1.11309,0.0549292,0.82
True,10,0.005,100,100,0.99,3,2,7,1,,270,0.733413,0.0406874,0.91
True,10,0.005,100,100,0.99,3,2,7,1,,280,0.660276,0.0435375,0.89
True,10,0.005,100,100,0.99,3,2,7,1,,290,0.413295,0.0369768,0.9
True,10,0.005,100,100,0.99,3,2,7,1,,300,0.819265,0.0493229,0.84
True,10,0.005,100,100,0.99,3,2,7,1,,310,1.69853,0.0594614,0.79
True,10,0.005,100,100,0.99,3,2,7,1,,320,1.34379,0.055601,0.82
True,10,0.005,100,100,0.99,3,2,7,1,,330,0.631935,0.0443672,0.87
True,10,0.005,100,100,0.99,3,2,7,1,,340,0.439701,0.037023,0.92
True,10,0.005,100,100,0.99,3,2,7,1,,350,0.389886,0.0372192,0.9
True,10,0.005,100,100,0.99,3,2,7,1,,360,0.367743,0.029654,0.94
True,10,0.005,100,100,0.99,3,2,7,1,,370,0.332367,0.0294738,0.94
True,10,0.005,100,100,0.99,3,2,7,1,,380,0.186352,0.0235962,0.95
True,10,0.005,100,100,0.99,3,2,7,1,,390,0.222629,0.0280093,0.95
True,10,0.005,100,100,0.99,3,2,7,1,,400,0.186908,0.018977,0.98
True,10,0.005,100,100,0.99,3,2,7,1,,410,0.893918,0.0436945,0.89
True,10,0.005,100,100,0.99,3,2,7,1,,420,0.659329,0.0383079,0.91
True,10,0.005,100,100,0.99,3,2,7,1,,430,0.15214,0.0201152,0.99
True,10,0.005,100,100,0.99,3,2,7,1,,440,0.138632,0.0239327,0.97
True,10,0.005,100,100,0.99,3,2,7,1,,450,0.212004,0.0279577,0.95
True,10,0.005,100,100,0.99,3,2,7,1,,460,0.190971,0.0270675,0.95
True,10,0.005,100,100,0.99,3,2,7,1,,470,0.233346,0.0312489,0.94
True,10,0.005,100,100,0.99,3,2,7,1,,480,0.0975279,0.023264,0.96
True,10,0.005,100,100,0.99,3,2,7,1,,490,0.0683665,0.0186163,0.97
True,10,0.005,100,100,0.99,3,2,7,1,,500,0.106601,0.0224871,0.96
True,10,0.005,100,100,0.99,3,2,7,1,,510,0.482221,0.0423001,0.89
True,10,0.005,100,100,0.99,3,2,7,1,,520,0.284705,0.035183,0.93
True,10,0.005,100,100,0.99,3,2,7,1,,530,0.190697,0.0248294,0.94
True,10,0.005,100,100,0.99,3,2,7,1,,540,0.0901242,0.0216941,0.96
True,10,0.005,100,100,0.99,3,2,7,1,,550,0.243207,0.0264457,0.96
True,10,0.005,100,100,0.99,3,2,7,1,,560,0.273137,0.0285278,0.95
True,10,0.005,100,100,0.99,3,2,7,1,,570,0.249127,0.0289337,0.96
True,10,0.005,100,100,0.99,3,2,7,1,,580,0.109725,0.0224279,0.97
True,10,0.005,100,100,0.99,3,2,7,1,,590,0.0621662,0.0201183,0.98
True,10,0.005,100,100,0.99,3,2,7,1,,600,0.133993,0.0222095,0.97
True,10,0.005,100,100,0.99,3,2,7,1,,610,0.250841,0.0292111,0.94
True,10,0.005,100,100,0.99,3,2,7,1,,620,0.417552,0.0316539,0.95
True,10,0.005,100,100,0.99,3,2,7,1,,630,0.18528,0.0195609,0.97
True,10,0.005,100,100,0.99,3,2,7,1,,640,0.0695188,0.020437,0.97
True,10,0.005,100,100,0.99,3,2,7,1,,650,0.101649,0.0234878,0.95
True,10,0.005,100,100,0.99,3,2,7,1,,660,0.0732734,0.0151413,0.99
True,10,0.005,100,100,0.99,3,2,7,1,,670,0.0767524,0.0181569,0.98
True,10,0.005,100,100,0.99,3,2,7,1,,680,0.0538079,0.018052,0.98
True,10,0.005,100,100,0.99,3,2,7,1,,690,0.017093,0.010377,0.99
True,10,0.005,100,100,0.99,3,2,7,1,,700,0.0917225,0.0185003,0.98
True,10,0.005,100,100,0.99,3,2,7,1,,710,0.256072,0.0257991,0.95
True,10,0.005,100,100,0.99,3,2,7,1,,720,0.254304,0.029455,0.94
True,10,0.005,100,100,0.99,3,2,7,1,,730,0.056054,0.0180605,0.98
True,10,0.005,100,100,0.99,3,2,7,1,,740,0.0132075,0.00797426,1.0
True,10,0.005,100,100,0.99,3,2,7,1,,750,0.0714508,0.0158184,0.99
True,10,0.005,100,100,0.99,3,2,7,1,,760,0.0284712,0.0129836,0.99
True,10,0.005,100,100,0.99,3,2,7,1,,770,0.0422844,0.0135913,0.99
True,10,0.005,100,100,0.99,3,2,7,1,,780,0.0768108,0.0163156,0.99
True,10,0.005,100,100,0.99,3,2,7,1,,790,0.0208482,0.0100304,1.0
