fixed,noise,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_steps,train step,xentropy,rmse,accuracy
True,False,10,0.005,100,100,0.99,3,2,7,2,1,610,1.76203,0.0691419,0.63
True,False,10,0.005,100,100,0.99,3,2,7,2,1,620,0.76279,0.0537998,0.79
True,False,10,0.005,100,100,0.99,3,2,7,2,1,630,0.50084,0.0483329,0.85
True,False,10,0.005,100,100,0.99,3,2,7,2,1,640,0.234221,0.0325757,0.94
True,False,10,0.005,100,100,0.99,3,2,7,2,1,650,0.442823,0.045453,0.84
True,False,10,0.005,100,100,0.99,3,2,7,2,1,660,0.141016,0.0255023,0.95
True,False,10,0.005,100,100,0.99,3,2,7,2,1,670,0.164697,0.0272355,0.94
True,False,10,0.005,100,100,0.99,3,2,7,2,1,680,0.171732,0.0289881,0.96
True,False,10,0.005,100,100,0.99,3,2,7,2,1,690,0.21764,0.0298831,0.94
True,False,10,0.005,100,100,0.99,3,2,7,2,1,700,0.144301,0.0268081,0.95
True,False,10,0.005,100,100,0.99,3,2,7,2,1,710,1.29584,0.0619946,0.73
True,False,10,0.005,100,100,0.99,3,2,7,2,1,720,0.606032,0.0486251,0.83
True,False,10,0.005,100,100,0.99,3,2,7,2,1,730,0.382258,0.0408452,0.88
True,False,10,0.005,100,100,0.99,3,2,7,2,1,740,0.201394,0.0320202,0.94
True,False,10,0.005,100,100,0.99,3,2,7,2,1,750,0.203161,0.0318798,0.95
True,False,10,0.005,100,100,0.99,3,2,7,2,1,760,0.358524,0.0372679,0.9
True,False,10,0.005,100,100,0.99,3,2,7,2,1,770,0.136412,0.0271378,0.94
True,False,10,0.005,100,100,0.99,3,2,7,2,1,780,0.202847,0.033529,0.93
True,False,10,0.005,100,100,0.99,3,2,7,2,1,790,0.217585,0.0292167,0.95
True,False,10,0.005,100,100,0.99,3,2,7,2,1,800,0.146799,0.0275352,0.94
True,False,10,0.005,100,100,0.99,3,2,7,2,1,810,1.09689,0.0589476,0.75
True,False,10,0.005,100,100,0.99,3,2,7,2,1,820,0.364693,0.0414608,0.88
True,False,10,0.005,100,100,0.99,3,2,7,2,1,830,0.234021,0.0346985,0.91
True,False,10,0.005,100,100,0.99,3,2,7,2,1,840,0.133139,0.0243181,0.97
