cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,410,12.8176,0.00722027,0.0358491,2.34169,0.00718069,0.225
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,420,12.6347,0.00724956,0.0365566,2.23758,0.00751421,0.3
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,430,12.78,0.00764223,0.0360849,2.14824,0.00790114,0.225
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,440,12.9328,0.00802922,0.0337264,2.09785,0.00842622,0.275
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,450,13.0239,0.00816993,0.0412736,1.9897,0.00839722,0.35
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,460,13.1258,0.00878088,0.0320755,1.96577,0.00907079,0.3
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,470,13.1956,0.0085352,0.0398585,1.86505,0.00893972,0.375
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,480,13.2694,0.00885018,0.0415094,1.8258,0.00930801,0.4
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,490,13.3672,0.00879845,0.0412736,1.93375,0.00949219,0.3
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,500,13.3625,0.0090975,0.042217,1.86024,0.00935141,0.425
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,510,10.5066,0.00537747,0.00613208,3.88425,0.00542228,0.05
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,520,11.0909,0.00832237,0.0264151,3.56008,0.00846694,0.125
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,530,10.7571,0.00625026,0.0412736,3.20543,0.0060043,0.15
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,540,10.6409,0.00620618,0.0431604,3.01215,0.00609533,0.125
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,550,10.5005,0.00606822,0.0349057,2.81348,0.00603809,0.175
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,560,10.3222,0.0065459,0.0495283,2.586,0.00644776,0.225
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,570,10.3068,0.00716561,0.040566,2.36042,0.00680058,0.3
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,580,10.1773,0.00774101,0.0396226,2.22467,0.00738457,0.325
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,590,10.3017,0.00892047,0.0384434,2.25467,0.00800924,0.325
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,600,10.3493,0.00946816,0.0379717,2.01221,0.00890651,0.3
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,610,10.4047,0.00987324,0.046934,1.83045,0.00936674,0.375
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,620,10.6401,0.0103634,0.0384434,1.68692,0.0101183,0.4
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,630,10.7206,0.0105955,0.0509434,1.58721,0.0102921,0.5
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,640,10.8394,0.0114442,0.0488208,1.4887,0.0110957,0.475
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,650,10.8001,0.0114434,0.053066,1.40758,0.0114017,0.525
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,660,10.8674,0.0116668,0.0426887,1.35095,0.0119755,0.425
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,670,11.0023,0.0124348,0.0542453,1.245,0.012505,0.575
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,680,11.2355,0.01268,0.0535377,1.08328,0.0133973,0.65
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,690,11.1493,0.0131182,0.0575472,0.973081,0.0138776,0.625
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,700,11.2354,0.0132312,0.0540094,1.01595,0.0141053,0.575
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,710,11.3915,0.0135635,0.0471698,1.20634,0.014222,0.575
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,720,11.2758,0.0135159,0.059434,1.04053,0.0140626,0.55
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,730,11.51,0.013976,0.0601415,0.881062,0.0147395,0.675
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,740,11.588,0.0145309,0.0410377,0.905303,0.0150564,0.65
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,750,11.6914,0.0149397,0.0580189,0.875092,0.0155977,0.65
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,760,12.0358,0.0148942,0.0481132,0.786587,0.0162276,0.675
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,770,11.8464,0.0144101,0.0386792,1.12704,0.0148109,0.6
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,780,11.7313,0.014821,0.0481132,0.828282,0.0161163,0.65
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,790,11.5792,0.0149776,0.0464623,1.1821,0.0165612,0.675
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,800,11.9722,0.015191,0.0412736,0.786687,0.0165664,0.65
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,810,12.1269,0.01578,0.0483491,0.634194,0.0169952,0.775
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,820,12.1566,0.0155402,0.0483491,0.819048,0.0170344,0.725
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,830,12.3461,0.0157201,0.054717,0.677018,0.0169136,0.7
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,840,12.4148,0.016411,0.0525943,0.666147,0.0176445,0.725
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,850,12.3564,0.0167176,0.0426887,0.620508,0.0181017,0.825
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,860,12.4336,0.016516,0.0441038,0.600026,0.0183956,0.725
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,870,12.498,0.0166795,0.0488208,0.513778,0.018265,0.825
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,880,12.5807,0.0169358,0.0431604,0.618036,0.0183745,0.8
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,890,12.5354,0.0168022,0.0433962,0.587284,0.0183266,0.75
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,900,12.5908,0.0171723,0.040566,0.640405,0.0187821,0.75
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,910,12.6891,0.0163486,0.0398585,0.546387,0.0179747,0.8
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,920,12.4882,0.0161395,0.0436321,1.18762,0.0175431,0.575
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,930,12.7391,0.0171694,0.0495283,0.87569,0.0173146,0.7
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,940,12.6743,0.0156526,0.0235849,1.1328,0.0164664,0.65
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,950,12.0732,0.0153904,0.054717,1.00916,0.0167673,0.575
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,960,12.2736,0.0160726,0.0426887,0.73703,0.0171832,0.7
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,970,12.454,0.0164251,0.0433962,0.65524,0.0179079,0.75
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,980,12.6536,0.0170159,0.0441038,0.493107,0.0186792,0.8
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,990,12.9775,0.017515,0.0466981,0.828956,0.0186775,0.7
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1000,12.9278,0.016731,0.0431604,0.573959,0.0183365,0.75
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1010,9.02109,0.0131335,0.0242925,4.46248,0.0117413,0.075
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1020,10.0072,0.00924387,0.0205189,2.62376,0.00932815,0.25
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1030,10.361,0.0118442,0.032783,1.74555,0.0107938,0.425
cross,last,5,0.005,40,500,0.99,3,2,2,2,100,106,1040,10.7037,0.0124071,0.0346698,1.43587,0.0122173,0.5
