cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,42,8.9974,41.7339,0.418481,8.97188,41.2702,0.42812
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,43,9.05028,41.6925,0.418601,9.02586,41.2347,0.42812
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,44,9.09668,41.6506,0.418575,9.07379,41.1994,0.42654
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,45,9.13716,41.6124,0.418575,9.11626,41.1643,0.42654
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,46,9.17482,41.5732,0.418596,9.1539,41.1293,0.42496
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,47,9.20858,41.5355,0.418633,9.18735,41.0946,0.42496
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,48,9.23735,41.4965,0.418601,9.21728,41.06,0.423381
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,49,9.26619,41.4595,0.418702,9.24441,41.0255,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,50,9.29084,41.4214,0.418859,9.26953,40.9913,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,-1,9.52,41.3615,0.438216,11.0761,40.2905,0.371429
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,51,9.31573,41.384,0.418879,9.29345,40.9572,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,52,9.33918,41.3459,0.418971,9.31703,40.9234,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,53,9.36521,41.3083,0.418988,9.34117,40.8897,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,54,9.39044,41.2715,0.418974,9.36677,40.8562,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,55,9.41923,41.2367,0.418977,9.39472,40.823,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,56,9.45104,41.2001,0.418988,9.42587,40.79,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,57,9.48726,41.1643,0.418985,9.461,40.7574,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,58,9.52635,41.127,0.418983,9.50081,40.725,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,59,9.57188,41.0905,0.418983,9.54588,40.693,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,60,9.62376,41.0561,0.418983,9.59666,40.6615,0.421801
rmse,last,1,0.001,633,5000,1.0,0.0,3,2,5,1,10,551,61,9.68231,41.0211,0.418983,9.65342,40.6304,0.421801
