cost,cost_step,batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,xentropy,rmse,accuracy,xentropy_last,rmse_last,accuracy_last
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,45,21.9185,46.3527,0.333886,7.25283,27.4376,0.685714
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,46,22.6606,46.5908,0.332797,7.22005,27.1626,0.657143
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,47,23.4648,46.8622,0.331242,7.31462,26.9994,0.657143
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,48,24.2267,47.1404,0.33259,7.37944,26.8741,0.657143
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,49,24.9128,47.4116,0.330672,7.38637,26.77,0.657143
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,50,25.4797,47.6347,0.330723,7.31735,26.6394,0.657143
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,-1,26.5785,47.6361,0.330464,19.0191,42.7735,0.428571
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,51,25.9363,47.7902,0.331812,7.17947,26.4521,0.657143
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,52,26.2475,47.8771,0.333005,6.99911,26.2274,0.657143
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,53,26.3951,47.9139,0.333679,6.80679,25.9845,0.685714
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,54,26.4333,47.9145,0.333938,6.6455,25.7408,0.714286
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,55,26.3779,47.8841,0.335235,6.53717,25.6124,0.742857
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,56,25.9734,47.8236,0.34042,6.4367,25.39,0.742857
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,57,25.6402,47.7622,0.343116,6.37122,25.2463,0.742857
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,58,25.4212,47.749,0.347213,6.3426,25.1054,0.771429
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,59,25.2882,47.791,0.348094,6.33554,24.962,0.771429
rmse,last,19,0.005,35,500,1.0,0.0,3,2,5,2,10,551,60,25.1903,47.836,0.347835,6.33321,24.813,0.771429
